id,label,properties
13224,date,datetime,1967-07-28
14173,date,datetime,1968-06-19
24541,date,datetime,1963-07-31
13402,date,datetime,1967-09-12
10417,date,datetime,1903-04-02
15510,date,datetime,1969-10-15
10997,date,datetime,1977-01-01
14531,date,datetime,1968-10-01
24529,date,datetime,1963-07-30
18128,date,datetime,1973-07-05
19374,date,datetime,1967-05-05
14162,date,datetime,1968-06-23
15442,date,datetime,1969-07-20
21481,date,datetime,1962-05-02
21518,date,datetime,1962-05-28
9969,date,datetime,1963-10-25
18898,date,datetime,1893-10-06
13556,date,datetime,1967-12-07
10836,date,datetime,1976-06-01
13570,date,datetime,1967-12-13
12713,date,datetime,1967-01-02
16215,date,datetime,1978-06-01
10435,date,datetime,1963-12-21
12503,date,datetime,1966-10-21
15065,date,datetime,1969-03-13
14476,date,datetime,1968-09-24
10302,date,datetime,1963-11-26
12485,date,datetime,1966-10-10
13318,date,datetime,1967-09-17
26941,date,datetime,1939-01-26
12322,date,datetime,1966-08-17
25853,date,datetime,1910-12-29
11821,date,datetime,1954-07-26
17886,date,datetime,1973-03-12
20212,date,datetime,1965-07-03
20746,date,datetime,1955-01-01
7605,date,datetime,1905-01-01
24344,date,datetime,1963-01-25
11390,date,datetime,1957-01-01
21053,date,datetime,1965-05-15
12774,date,datetime,1967-01-23
23242,date,datetime,1971-01-11
419,date,datetime,1901-01-01
21415,date,datetime,1962-08-13
27045,date,datetime,1912-06-30
26326,date,datetime,1918-07-31
17974,date,datetime,1973-05-03
19815,date,datetime,2006-09-18
17752,date,datetime,1973-03-28
15179,date,datetime,1969-04-18
26276,date,datetime,1915-12-23
12567,date,datetime,2000-06-09
25855,date,datetime,1928-12-28
20176,date,datetime,1965-06-19
24551,date,datetime,1963-08-06
20295,date,datetime,1962-11-29
12524,date,datetime,1999-11-24
14326,date,datetime,1968-08-25
17765,date,datetime,1972-10-20
15147,date,datetime,1969-05-01
22177,date,datetime,1963-04-25
16093,date,datetime,1977-06-21
16951,date,datetime,1901-11-07
23958,date,datetime,1972-02-27
10262,date,datetime,1963-12-09
12366,date,datetime,1966-08-26
13366,date,datetime,1967-08-02
12375,date,datetime,1966-09-23
23968,date,datetime,1975-02-27
15119,date,datetime,1969-03-28
13436,date,datetime,1967-11-23
17867,date,datetime,1973-03-08
25288,date,datetime,1888-01-01
21336,date,datetime,1962-07-05
22026,date,datetime,1963-02-12
13502,date,datetime,1965-12-01
18390,date,datetime,1974-04-09
15575,date,datetime,1969-10-23
26362,date,datetime,1934-06-10
15553,date,datetime,1969-10-03
13463,date,datetime,1967-12-02
7684,date,datetime,1931-01-01
18029,date,datetime,1973-05-14
16477,date,datetime,1971-06-03
21529,date,datetime,1962-07-17
16960,date,datetime,1872-01-01
21278,date,datetime,1969-08-26
17780,date,datetime,1973-01-03
9538,date,datetime,1996-11-12
18632,date,datetime,1845-01-01
22716,date,datetime,2011-02-25
26075,date,datetime,1938-05-15
16238,date,datetime,1979-09-06
12905,date,datetime,1967-03-29
20662,date,datetime,2007-02-12
16616,date,datetime,1972-04-09
14544,date,datetime,1968-10-12
12412,date,datetime,1966-07-04
12915,date,datetime,1966-07-21
